RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
39.5641667	-3.9786111	PGC170033	20.4	10.97	114	6801	3			0.02268569411	SB
39.6015417	7.9929167	UGC02130	30.1	10.91	63	6400	3		Ring,KIG113	0.02134810209	SB
39.7157917	27.8471944	UGC02134	42.6	9.99	68	4565	3		IRAS	0.01522720095	SB
40.12075	19.2970556	NGC1036	23.2	11.07	94	789	3		Pec,MRK370,IRAS	0.002631820711	SB
40.4759167	5.9480833	UGC02176	19.8	11.39	76	6364	3		IRAS	0.02122801902	SB
40.6667917	39.5343333	UGC02180	25.3	10.35	62	9348	3		IRAS	0.03118157162	SB
41.282875	-13.2366667	MCG-02-08-004	34.3	10.23	87	4237	3	1	HII,IRAS	0.01413311071	SB
41.3525417	2.8805833	IC1843	21.5	11.11	65	6767	2		Bar,IRAS	0.02257228232	SAB
41.5283333	-7.63425	PGC1015643	15.6	11.58	78	8972	2			0.02992737062	SAB
41.5728333	13.0956389	UGC02238	21.7	10.38	65	6445	3		Pec,HII,LINER,IRAS	0.02149820594	SB
41.778125	-2.9725833	2MFGC2225	31.3	10.86	120	7601	3			0.02535420688	SB
42.0181667	27.1030833	UGC02272	42.4	10	65	5652	3		IRAS	0.01885304266	SB
42.0673333	34.41975	NGC1093	26.9	10.48	104	5287	2		Bar,IRAS,Vc	0.01763553371	SAB
42.2451667	3.1686389	UGC02295	36.8	9.94	77	4171	3	1	Pec,IRAS	0.01391295841	SB
42.6624583	20.6828333	UGC02327	18.6	10.76	61	6305	3		Bar,pec,IRAS	0.0210312162	SB
42.8255833	-28.2006389	ESO416-037	35.3	10.25	75	5156	2		HII,IRAS	0.01719856475	SAB
42.97725	0.6648889	UGC02346	18.3	11.49	61	8774	3	1		0.02926691371	SB
42.994625	-33.3397778	IC1862	47.3	10.12	75	6399	3		IRAS,Vc	0.02134476645	SB
43.7785	-10.7535278	MCG-02-08-021	15.9	11.68	65	8794	3			0.02933362653	SB
44.017375	-22.2528333	ESO546-032	23.7	10.92	68	8105	3	2		0.02703536992	SB
44.5272917	-74.4566389	ESO031-005	41.2	10.03	93	4783	2		Bar,IRAS	0.01595437067	SAB
45.4829167	51.1486111	PGC11438	25.5	10.32	68	4808	3	2		0.0160377617	SB
45.7477917	-9.1320833	NGC1185	35.7	10.47	61	4854	3	1	Bar,ring,IRAS	0.01619120118	SB
46.0850833	48.2701111	UGC02511	34.2	10.08	70	3826	2		Bar,IRAS	0.01276216228	SAB
46.1488333	-13.9460833	PGC931092	15.3	11.95	60	4843	3			0.01615450913	SB
46.4187083	33.3939444	UGC02525	21.7	11.44	73	6229	3			0.02077770749	SB
46.4305833	36.7861389	UGC02526	36.7	9.47	80	4965	3		IRAS	0.01656145733	SB
