ra_deg	dec_deg	name	r_arcsec	ks_mag	"2s, Dimensionless ""separation"" between isolated galaxy and its nearest significant neighbour"	hrv_kms	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	comment	redshift	morph_type	poly_source	logSFR_sed	logSFR_w3	logSFR_w4	SimbadName	luminosity_class	yerkes_class	nuclear_class	mu0	diameter_b25_kpc	diameter_be_kpc	ring_diameter_kpc	abs_mag_b	color_bv	kbi	concentration_c31	luminosity_index	HI	mean_sb_be	MaNGA ID	Plate	IFU	logMstar	bt_r	logSFR_global	Distance (Mpc)	Inclination (°)	R₂₅ (kpc)	log R₂₅	M⋆ (10¹⁰ M☉)	V_rot (km/s)	log V_rot	12+log(O/H)₀	12+log(O/H)_R₂₅	Gradient (dex/R₂₅)	log M_BH (M☉)
32.94525	-5.9153611	MCG-01-06-068	16.0	11.5	81.0	12991.0	2.0			0.04333331161	SAB	2mig																																			
33.05125	44.5683333	NGC0846	45.2	9.19	66.0	5116.0	2.0		Bar,IRAS	0.01706513911	SAB	2mig																																			
33.1916667	36.3033611	UGC01701	17.1	10.91	60.0	10989.0	3.0	1.0		0.03665535842	SB	2mig																																			
34.346125	38.4138611	UGC01757	28.6	10.27	75.0	5060.0	3.0		ARK79	0.01687834322	SB	2mig																																			
34.7492083	0.3298889	CGCG387-070	17.9	11.54	78.0	8942.0	2.0		IRAS	0.02982730139	SAB	2mig																																			
34.9067083	-37.8187222	ESO298-028	29.0	10.26	104.0	5062.0	3.0			0.0168850145	SB	2mig																																			
34.9940833	-41.4031111	NGC0893	31.0	10.09	66.0	5049.0	3.0		Pec,IRAS,Vc	0.01684165117	SB	2mig																																			
35.2989583	-42.0016389	ESO298-031	28.9	10.98	74.0	4797.0	2.0		Bar,ring,pec	0.01600106965	SAB	2mig																																			
35.4027917	-64.6101111	ESO081-008	24.0	10.67	70.0	5971.0	2.0		IRAS	0.01991711212	SAB	2mig																																			
35.4705417	-14.0775833	PGC138518	16.5	11.69	68.0	15109.0	3.0	1.0	Bar,IRAS	0.05039819914	SB	2mig																																			
37.046875	-5.8386944	MCG-01-07-015	16.6	11.71	81.0	6108.0	3.0	1.0	Pec,VV449,IRAS	0.02037409493	SB	2mig																																			
38.199	4.7945833	CGCG414-014	21.3	11.59	81.0	13597.0	2.0			0.04535471002	SAB	2mig																																			
39.5641667	-3.9786111	PGC170033	20.4	10.97	114.0	6801.0	3.0			0.02268569411	SB	2mig																																			
39.6015417	7.9929167	UGC02130	30.1	10.91	63.0	6400.0	3.0		Ring,KIG113	0.02134810209	SB	2mig																																			
39.7157917	27.8471944	UGC02134	42.6	9.99	68.0	4565.0	3.0		IRAS	0.01522720095	SB	2mig																																			
40.12075	19.2970556	NGC1036	23.2	11.07	94.0	789.0	3.0		Pec,MRK370,IRAS	0.002631820711	SB	2mig																																			
40.4759167	5.9480833	UGC02176	19.8	11.39	76.0	6364.0	3.0		IRAS	0.02122801902	SB	2mig																																			
40.6667917	39.5343333	UGC02180	25.3	10.35	62.0	9348.0	3.0		IRAS	0.03118157162	SB	2mig																																			
41.282875	-13.2366667	MCG-02-08-004	34.3	10.23	87.0	4237.0	3.0	1.0	HII,IRAS	0.01413311071	SB	2mig																																			
41.3525417	2.8805833	IC1843	21.5	11.11	65.0	6767.0	2.0		Bar,IRAS	0.02257228232	SAB	2mig																																			
41.5283333	-7.63425	PGC1015643	15.6	11.58	78.0	8972.0	2.0			0.02992737062	SAB	2mig																																			
41.5728333	13.0956389	UGC02238	21.7	10.38	65.0	6445.0	3.0		Pec,HII,LINER,IRAS	0.02149820594	SB	2mig																																			
