Name	RAJ2000, deg	DEJ2000, deg	logSFRSED, [Msun/yr]	logSFRW3, [Msun/yr]	logSFRW4, [Msun/yr]	SimbadName
2MASXJ15475879+2836416	236.995	28.612	0.28	0.62	0.79	2MASXJ15475879+2836416
PGC1292200	237.029	5.965	0.46	0.74	1.07	PGC1292200
PGC2071121	238.216	35.861	1.03	0.94	0.87	PGC2071121
PGC056325	238.525	18.648		0.47	0.22	PGC056325
PGC2201686	240.04	42.574	0.27	0.63	0.65	PGC2201686
PGC2158122	240.282	39.941	0.08	0.17	-0.12	PGC2158122
PGC1662853	240.82	22.066	0.25			PGC1662853
PGC1689657	240.962	23.569	0.3	0.41	0.26	PGC1689657
PGC1498572	242.198	16.011	0.04	0.63	0.99	PGC1498572
PGC057512	243.257	37.287		1.31	1.29	PGC057512
PGC057518	243.284	36.588	0.77	0.68	0.76	PGC057518
PGC1789970	243.463	26.842	0.53	0.62	0.38	PGC1789970
PGC1436388	243.956	13.639	0.62	0.66	0.56	PGC1436388
PGC1793323	244.175	26.95	0.13	0.35	0.3	PGC1793323
PGC1779840	244.55	26.536	0.58	0.55	1.15	PGC1779840
PGC1686471	244.694	23.385	0.27	0.45	-0.83	PGC1686471
PGC1658998	244.978	21.873	0.36	0.62	0.41	PGC1658998
PGC1676468	247.323	22.81	0.79	0.93	0.97	2MASXJ16291742+2248353
PGC058394	247.688	26.095	0.11	0.54	0.42	PGC058394
PGC1932388	249.09	31.116	0.26	0.43	1.02	PGC1932388
PGC1693712	250.395	23.787	0.41	0.7	0.56	2MASXJ16413472+2347125
PGC1917582	251.769	30.778	0.38	0.79	0.65	PGC1917582
PGC1640747	253.665	21.008		1.21	1.36	PGC1640747
PGC2635969	255.137	62.4	0.4	0.49	0.33	PGC2635969
PGC2575230	261.805	58.157	0.72	0.72	0.61	PGC2575230
PGC2471297	262.399	54.494	0.99	0.96	1.2	PGC2471297
PGC1135235	313.671	-0.767	0.62	0.48	0.52	PGC1135235
PGC1177502	336.962	0.861	0.91			PGC1177502
PGC1143031	344.106	-0.45	1.14	0.94	1.02	PGC1143031
